key,prefix,number,document_id,path,source,field,location,context
AA-13610,AA,13610,39a1c1d817704248,Helios Sole/Línea 15 kV/110526 BT Casetas de obra.pdf,extracted,.yeyo-memory/extracted/39a1c1d817704248.txt,page 1,"dad Real | Alarcos, 21 - 1? Pl. 13071 Ciudad Real Ree ee VALERIANO LORENZO, S.A. | ee ae AVDA. DE LA HISPANIDAD, 10 Bua Aa 13610 CAMPO DE CRIPTANA 25 bi) ech 456292. ASUNTO: 13230102483 (13210201970) : En esta Delegación Provincial de Ordenación de"
AADIOGAE-1400,AADIOGAE,1400,f0bcdacfe1005761,04 GD Fabricacon LOI TES 3/Dibujo/1950201 - Placas de características selladas.pdf,extracted,.yeyo-memory/extracted/f0bcdacfe1005761.txt,page 3,"DISENO E HYDROSTATIC TEST PRESSURE a \ ESION PRUEBA HIORAULTOR FLUID - -ORROSION ALL. CELS POR CORROSION E XA. SCOPE E AADIOGAE 1400 HEAT. TAEATUENT, AYaMIEN TO. TÉRMICO ) capactty CAPACIDAD i | EMPTY WEIGHT TANDEM ) FE Vacio ‘anew = “o | FULL OF WATER"
ABE-13004,ABE,13004,cf0c2affa8d3f2a2,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-CYD-75-62-0013 Rev06 Cold salt tank.pdf,extracted,.yeyo-memory/extracted/cf0c2affa8d3f2a2.txt,page 1,Solar One(PTY) LTD (RF) Data SheetCold Salt Tank-kks = AD1WSC10BB001- 0328-PLN-CYD-75-62-00131 1:1251:101:2 XXXXXXXXXX ABE-13004-CE-BA !Kaxu Solar OneABEINSA EPC KAXU */(1( ( )0( N W ES CharacteristicUnits: Service:Al]eF&Fluid :
ABE-13004,ABE,13004,cf0c2affa8d3f2a2,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-CYD-75-62-0013 Rev06 Cold salt tank.pdf,extracted,.yeyo-memory/extracted/cf0c2affa8d3f2a2.txt,page 10,Salt TankShell & bottom tank. Termopar supportkks = AD1WSC10BB001- 0328-PLN-CYD-75-62-001310 1:2001:1251:30 XXXXXXXXXX ABE-13004-CE-BA !Kaxu Solar OneABEINSA EPC KAXU Scale=1:200Shell view A 22402240224022402240600 36225012 51711 plates 10377x2240x
ABE-13004,ABE,13004,cf0c2affa8d3f2a2,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-CYD-75-62-0013 Rev06 Cold salt tank.pdf,extracted,.yeyo-memory/extracted/cf0c2affa8d3f2a2.txt,page 11,(RF) Data SheetCold Salt TankEstructure of Roof kks = AD1WSC10BB001- 0328-PLN-CYD-75-62-001311 1:1001:201:10 XXXXXXXXXX ABE-13004-CE-BA !Kaxu Solar OneABEINSA EPC KAXU Scale=1:100Plant of roof structure 1008 500 200 100030017140Scale=1:20Rafter deta
ABE-13004,ABE,13004,cf0c2affa8d3f2a2,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-CYD-75-62-0013 Rev06 Cold salt tank.pdf,extracted,.yeyo-memory/extracted/cf0c2affa8d3f2a2.txt,page 12,(RF) Data SheetCold Salt TankEstructure of Roof kks = AD1WSC10BB001- 0328-PLN-CYD-75-62-001312 1:501:401:10 XXXXXXXXXX ABE-13004-CE-BA !Kaxu Solar OneABEINSA EPC KAXU ¦*-((¦0(( ¦*-((¦*((( 8 Thk. 8 mm. 2525 Scale=1:40Side view of roof structure raft
ABE-13004,ABE,13004,cf0c2affa8d3f2a2,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-CYD-75-62-0013 Rev06 Cold salt tank.pdf,extracted,.yeyo-memory/extracted/cf0c2affa8d3f2a2.txt,page 13,TY) LTD (RF) Data SheetCold Salt TankRoof plateskks = AD1WSC10BB001- 0328-PLN-CYD-75-62-001313 1:1001:501:20 XXXXXXXXXX ABE-13004-CE-BA !Kaxu Solar OneABEINSA EPC KAXU */(1( ( )0( N W ES (³ 1(³*/(³ )0(³ Roof platesThk. 8 mm. Roof platesThk. 8 mm
ABE-13004,ABE,13004,cf0c2affa8d3f2a2,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-CYD-75-62-0013 Rev06 Cold salt tank.pdf,extracted,.yeyo-memory/extracted/cf0c2affa8d3f2a2.txt,page 14,r One(PTY) LTD (RF) Data SheetCold Salt TankRoof detailkks = AD1WSC10BB001- 0328-PLN-CYD-75-62-001314 1:10-- XXXXXXXXXX ABE-13004-CE-BA !Kaxu Solar OneABEINSA EPC KAXU 200 R18150 INT. 50 50 50970 100 18 8 88 Coincident structureStiffener 52 Ut. 5 mm
ABE-13004,ABE,13004,cf0c2affa8d3f2a2,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-CYD-75-62-0013 Rev06 Cold salt tank.pdf,extracted,.yeyo-memory/extracted/cf0c2affa8d3f2a2.txt,page 15,a SheetCold Salt TankAnchor rods & bottom tank.kks = AD1WSC10BB001- 0328-PLN-CYD-75-62-001315 1:1501:1001:10 XXXXXXXXXX ABE-13004-CE-BA !Kaxu Solar OneABEINSA EPC KAXU */(1( ( )0( N W ES (³ 1(³*/(³ )0(³ Scale=1:150Plan view anchors location Anch
ABE-13004,ABE,13004,cf0c2affa8d3f2a2,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-CYD-75-62-0013 Rev06 Cold salt tank.pdf,extracted,.yeyo-memory/extracted/cf0c2affa8d3f2a2.txt,page 16,ne(PTY) LTD (RF) Data SheetCold Salt TankHandrailkks = AD1WSC10BB001- 0328-PLN-CYD-75-62-001316 1:1501:101:5 XXXXXXXXXX ABE-13004-CE-BA !Kaxu Solar OneABEINSA EPC KAXU Scale=1:10View of handrail segment(39 units) Baseboard 120x5 Protection 50x5 Pipe
