status,path,ext,top_dir,size_human,text_chars,chunks,doc_code,revision,card_path,extracted_path
error,01 GD AE/I&C/MEM/G70-16-0039-AT-OTI-000002-GAR_ TES Charging Mode for S&T HEX.zip,zip,01 GD AE,1.2 MB,0,0,,,.yeyo-memory/cards/c6cf6c96bf561d7f.json,
error,01 GD AE/I&C/MEM/G70-16-0039-AT-OTI-000003-GAR TES Discharging Mode S&T HEX.zip,zip,01 GD AE,2.4 MB,0,0,,,.yeyo-memory/cards/b6354ec7def01d08.json,
error,01 GD AE/I&C/MEM/G70-16-0039-AT-OTI-000005-GAR Cold TES pumps operation for S&T HEX Type.zip,zip,01 GD AE,419 KB,0,0,,,.yeyo-memory/cards/b89e5cbcdbf52b20.json,
error,01 GD AE/I&C/MEM/G70-16-0039-AT-OTI-000009-GAR Hot TES pumps operation for S&T HEX type.zip,zip,01 GD AE,404 KB,0,0,,,.yeyo-memory/cards/2478b584827a6c4b.json,
error,Documentacion con sello PE 08/Cartas de Transmision/Soportes de tubería HTF RFI015/_4521-TMT-DOT-0016.xlsx,xlsx,Documentacion con sello PE 08,334 B,0,0,,,.yeyo-memory/cards/4bd7351a32152aa5.json,
error,Documentos en Servidor Atlántica/260422_02 LIS cargas Sc y Hl/Observaciones a la instalacion electrica TES Hl.docx,docx,Documentos en Servidor Atlántica,913 KB,0,0,,,.yeyo-memory/cards/aa7e3ab96a1ea8f7.json,
