status,path,ext,top_dir,size_human,text_chars,chunks,doc_code,revision,card_path,extracted_path
needs_ocr_or_empty,13_Documentos de Inspección Final/418-2nd-Floor-1_20210826_114200_002585.pdf,pdf,13_Documentos de Inspección Final,371 KB,0,0,,,.yeyo-memory/cards/b32904547abc1d47.json,
needs_ocr_or_empty,13_Documentos de Inspección Final/S2009117-Solana HEX Planing.pdf,pdf,13_Documentos de Inspección Final,13 MB,0,0,,,.yeyo-memory/cards/ccf9c9475ae19f15.json,
needs_ocr_or_empty,Documentacion con sello PE 08/Paquete de construccion SMWP/M&P/ESP/07.3-Technical Specifications.pdf,pdf,Documentacion con sello PE 08,9.2 MB,0,0,,,.yeyo-memory/cards/1827ecd6bc2978e4.json,
needs_ocr_or_empty,Documentos en Servidor Atlántica/260422 01 Información Partida/01 P&ID Hl/E87-15-3020-FT-026-000001 P&ID.pdf,pdf,Documentos en Servidor Atlántica,769 KB,0,0,,,.yeyo-memory/cards/7b4057817fa0926f.json,
needs_ocr_or_empty,Documentos en Servidor Atlántica/260422 01 Información Partida/01 P&ID Hl/E87-15-3020-FT-026-000002 P&ID.pdf,pdf,Documentos en Servidor Atlántica,276 KB,0,0,,,.yeyo-memory/cards/833e6789cc42e936.json,
needs_ocr_or_empty,Documentos en Servidor Atlántica/260422 01 Información Partida/01 P&ID Hl/E87-15-3020-FT-026-000003 P&ID.pdf,pdf,Documentos en Servidor Atlántica,746 KB,0,0,,,.yeyo-memory/cards/38a3454d82a89521.json,
needs_ocr_or_empty,Documentos en Servidor Atlántica/260422 01 Información Partida/01 P&ID Hl/E87-15-3020-FT-026-000004 P&ID.pdf,pdf,Documentos en Servidor Atlántica,1.6 MB,0,0,,,.yeyo-memory/cards/082b00e8adf64e0c.json,
needs_ocr_or_empty,Documentos en Servidor Atlántica/260422 01 Información Partida/01 P&ID Hl/E87-15-3020-FT-026-000005 P&ID.pdf,pdf,Documentos en Servidor Atlántica,1021 KB,0,0,,,.yeyo-memory/cards/e95d709660e38186.json,
needs_ocr_or_empty,Documentos en Servidor Atlántica/260422 01 Información Partida/01 P&ID Hl/E87-15-3020-FT-026-000006 P&ID.pdf,pdf,Documentos en Servidor Atlántica,762 KB,0,0,,,.yeyo-memory/cards/7a53c10b8e5323c4.json,
needs_ocr_or_empty,Documentos en Servidor Atlántica/260422 01 Información Partida/01 P&ID Hl/E87-15-3020-FT-026-000007 P&ID.pdf,pdf,Documentos en Servidor Atlántica,642 KB,0,0,,,.yeyo-memory/cards/2bda54f1380c9916.json,
needs_ocr_or_empty,Documentos en Servidor Atlántica/260422 01 Información Partida/03 H&M Balances/Combine Balances H&M.pdf,pdf,Documentos en Servidor Atlántica,38 MB,0,0,,,.yeyo-memory/cards/004e874419245251.json,
needs_ocr_or_empty,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-ARS-75-51-0001_Rev04 On-site layout TES Detail.pdf,pdf,Documentos en Servidor Atlántica,571 KB,0,0,0328-PLN-ARS-75-51-,,.yeyo-memory/cards/6dbde9d6ea667f13.json,
needs_ocr_or_empty,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-ARS-75-52-0001_Rev03 Pipe's distribution.pdf,pdf,Documentos en Servidor Atlántica,1.5 MB,0,0,0328-PLN-ARS-75-52-,,.yeyo-memory/cards/3f469b7aff931fe9.json,
needs_ocr_or_empty,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-ARS-75-52-0002_Rev 04 Geometry and Sections Detail.pdf,pdf,Documentos en Servidor Atlántica,1.1 MB,0,0,0328-PLN-ARS-75-52-,,.yeyo-memory/cards/d9a7d3612b9e9cae.json,
needs_ocr_or_empty,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-ARS-75-52-0003_Rev07 Details Detail.pdf,pdf,Documentos en Servidor Atlántica,1.4 MB,0,0,0328-PLN-ARS-75-52-,,.yeyo-memory/cards/45124712d4f16bd8.json,
needs_ocr_or_empty,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-ARS-75-52-0004_Rev04 Details of Welding Detail.pdf,pdf,Documentos en Servidor Atlántica,771 KB,0,0,0328-PLN-ARS-75-52-,,.yeyo-memory/cards/0a16b059c2324c8a.json,
needs_ocr_or_empty,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-ARS-75-52-0005_Rev05 Thermocouples Thermocouples.pdf,pdf,Documentos en Servidor Atlántica,1.1 MB,0,0,0328-PLN-ARS-75-52-,,.yeyo-memory/cards/a27225bde332eb1f.json,
needs_ocr_or_empty,Documentos en Servidor Atlántica/260422_02 LIS cargas Sc y Hl/Combine Unifilar Hl.pdf,pdf,Documentos en Servidor Atlántica,502 KB,0,0,,,.yeyo-memory/cards/75209b1fcbf07e85.json,
needs_ocr_or_empty,Documentos en Servidor Atlántica/Antiguo/01 Información Partida/01 P&ID Hl/E87-15-3020-FT-026-000001 P&ID.pdf,pdf,Documentos en Servidor Atlántica,769 KB,0,0,,,.yeyo-memory/cards/76d3963821a4052a.json,
needs_ocr_or_empty,Documentos en Servidor Atlántica/Antiguo/01 Información Partida/01 P&ID Hl/E87-15-3020-FT-026-000002 P&ID.pdf,pdf,Documentos en Servidor Atlántica,276 KB,0,0,,,.yeyo-memory/cards/4e911b5708ec12b0.json,
needs_ocr_or_empty,Documentos en Servidor Atlántica/Antiguo/01 Información Partida/01 P&ID Hl/E87-15-3020-FT-026-000003 P&ID.pdf,pdf,Documentos en Servidor Atlántica,746 KB,0,0,,,.yeyo-memory/cards/fa8fecef6a9c6cf5.json,
needs_ocr_or_empty,Documentos en Servidor Atlántica/Antiguo/01 Información Partida/01 P&ID Hl/E87-15-3020-FT-026-000004 P&ID.pdf,pdf,Documentos en Servidor Atlántica,1.6 MB,0,0,,,.yeyo-memory/cards/9601e2f5c9333972.json,
