score,send_policy,ocr_priority,path,title,doc_code,revision,ext,status,source_corpus,project_area,deliverable_part,discipline,extraction_quality,ai_action,reuse_priority,page_count,indexed_reference_count,text_chars,chunks,size_human,score_reasons,card_path,extracted_path
0,no_enviar_hasta_ocr_selectivo,45,Helios Sole/Helios I/5.10 AT/Líneas 15 kV/Proyectos 15kV Masa/Proyecto ampliación C.pdf,Proyecto ampliación C,,,pdf,needs_ocr_or_empty,Proyecto Helios Sole,Helios I,Documentacion auxiliar,Electrica,requiere_ocr,ocr_local_si_es_relevante,pendiente_ocr,30,0,0,0,2.0 MB,,.yeyo-memory/cards/bd018ba38aa251aa.json,
0,no_enviar_hasta_ocr_selectivo,45,Helios Sole/Helios I/5.7 Instalaciones NM/5.7.1 BT/5.7.1.1 Proyecto.pdf,5.7.1.1 Proyecto,,,pdf,needs_ocr_or_empty,Proyecto Helios Sole,Helios I,Documentacion auxiliar,Electrica,requiere_ocr,ocr_local_si_es_relevante,pendiente_ocr,191,0,0,0,21 MB,,.yeyo-memory/cards/d78697e42e7bbfe2.json,
0,no_enviar_hasta_ocr_selectivo,45,Helios Sole/Helios I/5.7 Instalaciones NM/5.7.2 EP/5.7.2.5 Formulario PS.pdf,5.7.2.5 Formulario PS,,,pdf,needs_ocr_or_empty,Proyecto Helios Sole,Helios I,Documentacion auxiliar,General,requiere_ocr,ocr_local_si_es_relevante,pendiente_ocr,7,0,0,0,11 MB,,.yeyo-memory/cards/3259302d7156d15f.json,
0,no_enviar_hasta_ocr_selectivo,45,Helios Sole/Helios I/5.7 Instalaciones NM/5.7.3 PCI/5.7.3.1 Proyecto.pdf,5.7.3.1 Proyecto,,,pdf,needs_ocr_or_empty,Proyecto Helios Sole,Helios I,Documentacion auxiliar,PCI,requiere_ocr,ocr_local_si_es_relevante,pendiente_ocr,191,0,0,0,21 MB,,.yeyo-memory/cards/c4e144debcf7ded2.json,
0,no_enviar_hasta_ocr_selectivo,45,Helios Sole/Helios II/3.3.1 Resolucion DIA HII.pdf,3.3.1 Resolucion DIA HII,,,pdf,needs_ocr_or_empty,Proyecto Helios Sole,Helios I,Documentacion auxiliar,General,requiere_ocr,ocr_local_si_es_relevante,pendiente_ocr,13,0,0,0,6.1 MB,,.yeyo-memory/cards/cca6fb620fcbcb4e.json,
0,no_enviar_hasta_ocr_selectivo,45,Helios Sole/Helios II/3.3.5 DIA balsa.pdf,3.3.5 DIA balsa,,,pdf,needs_ocr_or_empty,Proyecto Helios Sole,Helios I,Documentacion auxiliar,General,requiere_ocr,ocr_local_si_es_relevante,pendiente_ocr,6,0,0,0,2.8 MB,,.yeyo-memory/cards/1df261629e6bc936.json,
0,no_enviar_hasta_ocr_selectivo,45,Helios Sole/Helios II/5.10 AT/5.10.2 SE Elevadora HII/5.10.2.4 Cert PyC HII.pdf,5.10.2.4 Cert PyC HII,,,pdf,needs_ocr_or_empty,Proyecto Helios Sole,Helios I,Documentacion auxiliar,General,requiere_ocr,ocr_local_si_es_relevante,pendiente_ocr,9,0,0,0,5.3 MB,,.yeyo-memory/cards/cb96000371981dde.json,
0,no_enviar_hasta_ocr_selectivo,45,Helios Sole/Helios II/5.10 AT/5.10.3 AT Helios II/5.10.3.8 Solicitud APM AT HII .pdf,5.10.3.8 Solicitud APM AT HII,,,pdf,needs_ocr_or_empty,Proyecto Helios Sole,Helios I,Documentacion auxiliar,Permisos / legalizacion,requiere_ocr,ocr_local_si_es_relevante,pendiente_ocr,6,0,0,0,339 KB,,.yeyo-memory/cards/89ebc7eb683731bb.json,
0,no_enviar_hasta_ocr_selectivo,30,Helios Sole/Helios I/2.3 Estudio SyS HI.pdf,2.3 Estudio SyS HI,,,pdf,needs_ocr_or_empty,Proyecto Helios Sole,Helios I,Documentacion auxiliar,General,requiere_ocr,ocr_local_si_es_relevante,pendiente_ocr,202,0,0,0,6.2 MB,,.yeyo-memory/cards/5d8137d0020b1747.json,
0,no_enviar_hasta_ocr_selectivo,30,Helios Sole/Helios I/5.10 AT/5.10.4 SE Elevadora HI/5.10.4.6 Protocolo ensayos trafo.pdf,5.10.4.6 Protocolo ensayos trafo,,,pdf,needs_ocr_or_empty,Proyecto Helios Sole,Helios I,Documentacion auxiliar,General,requiere_ocr,ocr_local_si_es_relevante,pendiente_ocr,61,0,0,0,4.3 MB,,.yeyo-memory/cards/6fda54597fab5461.json,
0,no_enviar_hasta_ocr_selectivo,30,Helios Sole/Helios I/5.7 Instalaciones NM/5.7.2 EP/5.7.2.1 Proyecto.pdf,5.7.2.1 Proyecto,,,pdf,needs_ocr_or_empty,Proyecto Helios Sole,Helios I,Documentacion auxiliar,General,requiere_ocr,ocr_local_si_es_relevante,pendiente_ocr,191,0,0,0,21 MB,,.yeyo-memory/cards/9a0314589319f584.json,
0,no_enviar_hasta_ocr_selectivo,30,Helios Sole/Helios II/5.10 AT/5.10.2 SE Elevadora HII/5.10.2.6 Protocolo ensayo.pdf,5.10.2.6 Protocolo ensayo,,,pdf,needs_ocr_or_empty,Proyecto Helios Sole,Helios I,Documentacion auxiliar,General,requiere_ocr,ocr_local_si_es_relevante,pendiente_ocr,50,0,0,0,3.7 MB,,.yeyo-memory/cards/61d82f2ca6454008.json,
0,no_enviar_hasta_ocr_selectivo,30,Helios Sole/Helios II/5.10 AT/5.10.3 AT Helios II/5.10.3.6 Prot ensayos.pdf,5.10.3.6 Prot ensayos,,,pdf,needs_ocr_or_empty,Proyecto Helios Sole,Helios I,Documentacion auxiliar,General,requiere_ocr,ocr_local_si_es_relevante,pendiente_ocr,26,0,0,0,6.9 MB,,.yeyo-memory/cards/c6929e74f457a9c6.json,
