[sheet SPReport_Definition]
0 | Plant Item | Representation | Drawing | Drawing Project
8 | PlantItem | Representation | Drawing | DrawingProject
Plant Item;PlantItem.Representation | Representation;Drawing.Representation | Drawing;Drawing.DrawingProject
EA_Comp & Instr Valves (M)
EAQ_ValveList(Process+Instr)_G-UnaFila.xls | False | False | False | False
48 | 0 | 3 | 2
1 | 0 | 0 | 0
3 | False | False | False | False
Representation.FileName | Revision | Project.Name
Yanbu | KKSEquipmentUnitKey | EA_KKSDrawingNumber | Project.Description
1 | NombreSimbolo | EA_DrawingNumber
PlantItemType
ItemTag
SupplyBy
EA_Description
EA_PEDInspectionCategory
EA_TechnicalSpecification
EA_GEIdentification
EA_Note1
EA_Supplier
EA_DrawingNumber
EA_ManufacturerDrawing
EA_EnvironmentCondition
EA_FuncEmergency
EA_FuncStop
EA_FuncStartUp
EA_FuncLoad50
EA_FuncLoad100
EA_PowerRating
EA_PowerAbsorbed
EA_SheetNumber
EA_DrawingZone
EA_Material
EA_EndType
EA_RAP
EA_InspectionCategory
EA_TOP
EA_DataSheet
EA_PaintSystem
EA_RAL
EA_Manufacturer
EA_PurchaseOrderDate
EA_AuxNominalDiameter
EA_ValveCatalogNumber
EA_Rating
EA_Schedule
EA_LineOfValveAux
EA_Fluid
EA_DesignMaxPressure
EA_DesignMaxTemperature
EA_ActuatorType
EA_AccessoryType
EA_InsulThick
EA_AccessoryTypeAll
EA_DesignMaxMinPressure
EA_AuxDINNominalDiameter
ItemTag,0

[sheet VALVE LIST]
M | KKS Identification | ND (") | ND (mm) | Type | Material | Valve Qty | Rating | End | SCH | Fluid | Design | Drive
P (barg) | T (ºC)
034 | 10WTX13AA301 | 2" | 50 | GATE VALVE | ASTM A105 | 1 | 800 Lb | SW | - | HTF | 25 | 398 | Motor
035 | 10WSX13AA301 | 4" | 100 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Motor
036 | 10WSX13AA302 | 4" | 100 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Motor
037 | 10WSX13AA303 | 4" | 100 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Motor
038 | 10WTX17AA502 | 2" | 50 | GATE VALVE | ASTM A105 | 1 | 800 Lb | SW | - | HTF | 25 | 398 | Manual
039 | 10WSN10AA301 | 4" | 100 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 68 | Motor
040 | 10WSN10AA302 | 4" | 100 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 68 | Motor
041 | 10WTX13AA302 | 2" | 50 | GATE VALVE | ASTM A105 | 1 | 800 Lb | SW | - | HTF | 25 | 398 | Motor
042 | 10WTX13AA702 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 800 Lb | SW | - | HTF | 25 | 398 | Manual
043 | 10WSX13AA304 | 4" | 100 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Motor
044 | 10WSX19AA301 | 6" | 150 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Motor
045 | 10WSN10AA030 | 2" | 50 | CHECK VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 68 | Manual
046 | 10WSN10AA031 | 2" | 50 | CHECK VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 68 | Manual
047 | 10WSH11AA251 | 10" | 250 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Pneum
048 | 10WSH12AA251 | 10" | 250 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Pneum
049 | 10WSH13AA251 | 10" | 250 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Pneum
050 | 10WSX18AA201 | 20" | 500 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Pneum
051 | 10WSX18AA202 | 12" | 300 | GLOBE VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Pneum
052 | 10WSH11AA201 | 6" | 150 | GLOBE VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Pneum
053 | 10WSH12AA201 | 6" | 150 | GLOBE VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Pneum
054 | 10WSH13AA201 | 6" | 150 | GLOBE VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Pneum
055 | 10WSH10AA001 | 12" | 300 | GATE VALVE | ASTM A105 | 1 | 150 Lb | FLG | - | MOLTEN SALTS | 3.5 | 398 | Manual
056 | 10WSH10AA002 | 12" | 300 | GATE VALVE | ASTM A105 | 1 | 150 Lb | FLG | - | MOLTEN SALTS | 3.5 | 398 | Manual
057 | 10WSH10AA003 | 6" | 150 | GATE VALVE | ASTM A105 | 1 | 150 Lb | FLG | - | MOLTEN SALTS | 3.5 | 398 | Manual
058 | 10WSH10AA901 | * | * | PRESSURE SAFETY VALVE | ASTM A105 | 1 | 300 Lb | FLG | - | MOLTEN SALTS | 3.5 | 398 | -
059 | 10WSH10AA902 | * | * | PRESSURE SAFETY VALVE | ASTM A105 | 1 | 300 Lb | FLG | - | MOLTEN SALTS | 3.5 | 398 | -
060 | 10WSH10AA201 | 6" | 150 | GLOBE VALVE | ASTM A105 | 1 | 150 Lb | BW | - | MOLTEN SALTS | 3.5 | 398 | Pneum
061 | 10WSN12AA701 | 1/2" | 15 | BALL VALVE | ASTM A105 | 1 | 150 Lb | FLG | - | Nitrogen | 3.5 | 68 | Manual
062 | 10WSN12AA702 | 1/2" | 15 | BALL VALVE | ASTM A105 | 1 | 150 Lb | FLG | - | Nitrogen | 3.5 | 68 | Manual
063 | 10WSN12AA001 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 150 Lb | SW | - | Nitrogen | 3.5 | 68 | Manual
064 | 10WSN12AA002 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 150 Lb | SW | - | Nitrogen | 3.5 | 68 | Manual
065 | 10WSN12AA003 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 150 Lb | SW | - | Nitrogen | 3.5 | 68 | Manual
066 | 10WSN12AA201 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 150 Lb | SW | - | Nitrogen | 3.5 | 68 | Pneum
067 | 10WSN10AA020 | 12" | 300 | GATE VALVE | ASTM A105 | 1 | 150 Lb | FLG | - | Nitrogen | 3.5 | 68 | Manual
068 | 10WSD10AA371 | 6" | 150 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Motor
070 | 10WSD10AA373 | 4" | 100 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Motor
072 | 10WSD10AA313 | 4" | 100 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 3.5 | 398 | Motor
074 | 10WSD10AA311 | 4" | 100 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 3.5 | 398 | Motor
075 | 10WSD10AA501 | 4" | 100 | GLOBE VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 3.5 | 398 | Manual
076 | 10WTX17AA702 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 800 Lb | SW | - | HTF | 25 | 398 | Manual
077 | 10WTX17AA501 | 2" | 50 | GATE VALVE | ASTM A105 | 1 | 800 Lb | SW | - | HTF | 25 | 398 | Manual
078 | 10WTX17AA301 | 2" | 50 | GATE VALVE | ASTM A105 | 1 | 800 Lb | SW | - | HTF | 25 | 398 | Motor
079 | 10WSX17AA303 | 4" | 100 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Motor
080 | 10WSN10AA303 | 4" | 100 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | Nitrogen | 3.5 | 68 | Motor
081 | 10WSN10AA032 | 2" | 50 | CHECK VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 68 | Manual
082 | 10WSX17AA302 | 4" | 100 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Motor
083 | 10WSX17AA301 | 4" | 100 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Motor
084 | 10WTX17AA701 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 800 Lb | SW | - | HTF | 25 | 398 | Manual
085 | 10WSX19AA201 | 4" | 100 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Pneum
086 | 10WTX16AA701 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 800 Lb | SW | - | HTF | 25 | 398 | Manual
