[sheet Lista de instrumentos]
Rev | TAG | Instrument type | Protect | Service | P&ID | Equipment / Line | Notes
00 | 10WSC10CT031 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G8
00 | 10WSC10CT032 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G8
00 | 10WSC10CT033 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G8
00 | 10WSC10CT034 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G9
00 | 10WSC10CT035 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G9
00 | 10WSC10CT036 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G9
00 | 10WSC10CT037 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G10
00 | 10WSC10CT038 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G10
00 | 10WSC10CT039 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G10
00 | 10WSC10CT040 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G11
00 | 10WSC10CT041 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G11
00 | 10WSC10CT042 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G11
00 | 10WSC10CT043 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G12
00 | 10WSC10CT044 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G12
00 | 10WSC10CT045 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G12
00 | 10WSC10CT051 | Temperature transmitter | IP65 | Tank Foundation | 1950801-PID-3030-00 Sh 2 | G13
00 | 10WSC10CT052 | Temperature transmitter | IP65 | Tank Foundation | 1950801-PID-3030-00 Sh 2 | G13
00 | 10WSC10CT053 | Temperature transmitter | IP65 | Tank Foundation | 1950801-PID-3030-00 Sh 2 | G13
00 | 10WSC10CT054 | Temperature transmitter | IP65 | Tank Foundation | 1950801-PID-3030-00 Sh 2 | G13
00 | 10WSC10CT055 | Temperature transmitter | IP65 | Tank Foundation | 1950801-PID-3030-00 Sh 2 | G13
00 | 10WSC10CT056 | Temperature transmitter | IP65 | Tank Foundation | 1950801-PID-3030-00 Sh 2 | G13
00 | 10WSC10CT057 | Temperature transmitter | IP65 | Tank Foundation | 1950801-PID-3030-00 Sh 2 | G13
00 | 10WSC10CT058 | Temperature transmitter | IP65 | Tank Foundation | 1950801-PID-3030-00 Sh 2 | G13
00 | 10WSC10CT059 | Temperature transmitter | IP65 | Tank Foundation | 1950801-PID-3030-00 Sh 2 | G13
00 | 10WSC10CT065 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G14
00 | 10WSC10CT066 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G14
00 | 10WSC10CT067 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G14
00 | 10WSC10CT068 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G14
00 | 10WSC10CT069 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G15
00 | 10WSC10CT070 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G15
00 | 10WSC10CT071 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G15
00 | 10WSC10CT072 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G15
00 | 10WSC10CT073 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G15
00 | 10WSC10CT074 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 2 | G15
00 | 10WTX13CP001 | Pressure transmitter | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX13CT101 | Temperature transmitter | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX13CT102 | Temperature transmitter | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX12CT101 | Temperature transmitter | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX12CT102 | Temperature transmitter | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX12CP001 | Pressure transmitter | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX12CT501 | Temperature gauge | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX12CP501 | Pressure gauge | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX11CP001 | Pressure transmitter | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX11CT101 | Temperature transmitter | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX11CT102 | Temperature transmitter | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX11CT103 | Temperature transmitter | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX11CT501 | Temperature gauge | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX11CP501 | Pressure gauge | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WSX11CP001 | Pressure transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX13CT101 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX13CT102 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX13CT001 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 4"BAF9
00 | 10WSD10CP111 | Pressure transmitter | IP65 | molten salt drain system | C25-180-P&ID | 6"BAF9
00 | 10WSD10CP112 | Pressure transmitter | IP65 | molten salt drain system | C25-180-P&ID | 6"BAF9
00 | 10WSX13CP001 | Pressure transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX12CT101 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX12CT102 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX12CP001 | Pressure transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX12CT501 | Temperature gauge | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX12CP501 | Pressure gauge | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX11CT501 | Temperature gauge | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX11CP501 | Pressure gauge | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX11CT101 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX11CT102 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX11CT103 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WTX15CP001 | Pressure transmitter | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX15CT101 | Temperature transmitter | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX15CT102 | Temperature transmitter | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX14CT101 | Temperature transmitter | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX14CT102 | Temperature transmitter | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX14CP001 | Pressure transmitter | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX14CT501 | Temperature gauge | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX14CP501 | Pressure gauge | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX13CT501 | Temperature gauge | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX13CP501 | Pressure gauge | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WSX15CT001 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 4"BAF9
00 | 10WSX15CT101 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX15CT102 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX14CT101 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX14CT102 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX14CP001 | Pressure transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX14CT501 | Temperature gauge | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX14CP501 | Pressure gauge | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX13CT501 | Temperature gauge | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX13CP501 | Pressure gauge | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WTX17CT101 | Temperature transmitter | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
