path,size_bytes,size_human,ext,depth,mtime_iso
11 Sal de Solana y Corrosion/1 CONTENIDO DE CLORURO DE SAL DE SOLANA/L969414.pdf,509413,497 KB,pdf,2,2026-06-05T06:25:00.000Z
11 Sal de Solana y Corrosion/3 SANDIA - CORROSIÓN DEL ACERO AL CARBONO/SAND2010-7594 A516 carbon steel corrosion.pdf,3317838,3.2 MB,pdf,2,2026-06-05T06:25:00.000Z
11 Sal de Solana y Corrosion/4 NOTA TÉCNICA DE ALIA SOBRE CORROSIÓN/AECP2017-A-002_Corrosion of Lointek heat exchangers’ U-tubes due to exposure to molten nitrate salt in Solana powerplant_v00.pdf,844321,825 KB,pdf,2,2026-06-05T06:25:00.000Z
11 Sal de Solana y Corrosion/4 NOTA TÉCNICA DE ALIA SOBRE CORROSIÓN/RE   EXTERNAL  RE  197228 14 4200 20180103 Solana  Status of Data   Request and Next Steps.msg,1057792,1.0 MB,msg,2,2026-06-05T06:25:00.000Z
11 Sal de Solana y Corrosion/ESTUDIO DE CORROSIÓN DE 2 ABG/Corrosion Report.msg,1777664,1.7 MB,msg,2,2026-06-05T06:25:00.000Z
11 Sal de Solana y Corrosion/ESTUDIO DE CORROSIÓN DE 2 ABG/RE  Informe Tecnalia.msg,200704,196 KB,msg,2,2026-06-05T06:25:00.000Z
11 Sal de Solana y Corrosion/ESTUDIO DE CORROSIÓN DE 2 ABG/REPORT 068980-Corrosion study on A516Gr70 steel coupons (00000002).pdf,1650261,1.6 MB,pdf,2,2026-06-05T06:25:00.000Z
11 Sal de Solana y Corrosion/RE_ _EXTERNAL_ RE_ 197228_14_4200 20180103 Solana_ Status of Data   Request and Next Steps.msg,113152,111 KB,msg,1,2026-06-05T06:25:00.000Z
11 Sal de Solana y Corrosion/SUPOSICIÓN DE CONTENIDO DE CLORURO DE LOINTEK DE 0/180212 Lointek Chloride content in salt.pdf,846709,827 KB,pdf,2,2026-06-05T06:25:00.000Z
