path,size_bytes,size_human,ext,depth,mtime_iso
Helios Sole/Helios I/5.10 AT/5.10.2 SE Colectora/2046-PLN-INA-23-22-0001 Principal y redundante Helios I.pdf,182514,178 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.2 SE Colectora/2046-PLN-INA-23-22-0002 Principal y redundante Helios II.pdf,188915,184 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.2 SE Colectora/2046-PLN-INA-23-22-0003 Principal y comprobante.pdf,193229,189 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.2 SE Colectora/2046-PLN-INA-23-22-0101 rev 00 Unifilar general.pdf,206943,202 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.2 SE Colectora/2046-PLN-INA-23-22-0101 rev 01 Unifilar general.pdf,299186,292 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.2 SE Colectora/5.10.2.1 Proyecto AA SE col.pdf,3381100,3.2 MB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.2 SE Colectora/5.10.2.2 CDO SE Colectora.pdf,395383,386 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.2 SE Colectora/5.10.2.3 Certificado Instalacion.pdf,216034,211 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.2 SE Colectora/5.10.2.4 Certificado pyc SE Col.PDF,122421,120 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.2 SE Colectora/5.10.2.5 Acreditacion AT.pdf,498983,487 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.2 SE Colectora/5.10.2.5 Acreditacion BT.pdf,1132564,1.1 MB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.2 SE Colectora/5.10.2.6 Protocolo ensayo trafo.pdf,1653145,1.6 MB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.2 SE Colectora/5.10.2.7 Contrato Mto AT HI.pdf,129735,127 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.2 SE Colectora/5.10.2.8 Solicitud APM.pdf,54468,53 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.2 SE Colectora/5.10.2.9 APM.pdf,270153,264 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.2 SE Colectora/E87-15-3005-SE-021-000001 rev 00 Unifilar general.pdf,206943,202 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.2 SE Colectora/E87-15-3005-SE-022-000002 rev 01 Línea L1 Helios I.pdf,2652005,2.5 MB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.2 SE Colectora/E87-15-3005-SE-022-000003 rev 01 Línea L2 Helios II.pdf,2622562,2.5 MB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.2 SE Colectora/E87-15-3005-SE-022-000004 rev 01 Línea L3 Arenas de San Juan.pdf,3383480,3.2 MB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.2 SE Colectora/INGENIERIA HELIOS FISCAL.rar,3075674,2.9 MB,rar,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.3 Linea auxiliar 15 kV/5.10.3.1 Proyecto visado.pdf,9278665,8.8 MB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.3 Linea auxiliar 15 kV/5.10.3.1 Proyecto.pdf,7293125,7.0 MB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.3 Linea auxiliar 15 kV/5.10.3.10 Carta no AA.pdf,401868,392 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.3 Linea auxiliar 15 kV/5.10.3.11 Solicitud APM linea 15 kV.pdf,65619,64 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.3 Linea auxiliar 15 kV/5.10.3.12 APM.pdf,135071,132 KB,pdf,4,2026-06-08T16:14:00.000Z
